evaluator_id,source_file,reference_movie_id,movie_id,algorithm,algorithm_rank,familiarity,rating,watch_likelihood,preference_score,preference_source,relevance,novelty_score,in_top5
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,79006,castoverlap,1,unknown,,3,3,watch_likelihood,4,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,79006,image_similarity,2,unknown,,3,3,watch_likelihood,4,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,127390,subtitles,5,unknown,,4,4,watch_likelihood,4,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,1356,genome_overlap,3,heard,,2,2,watch_likelihood,4,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,119655,image_similarity,3,unknown,,2,2,watch_likelihood,3,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,2916,knn,5,heard,,3,3,watch_likelihood,3,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,98124,tmdb,4,heard,,4,4,watch_likelihood,3,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,2571,knn,2,watched,4,,4,rating,3,0,1
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,2571,image_text_similarity,2,watched,4,,4,rating,3,0,1
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,2571,weighted_hybrid,3,watched,4,,4,rating,3,0,1
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,112852,tmdb,5,watched,4,,4,rating,4,0,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,102445,tmdb,1,unknown,,3,3,watch_likelihood,3,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,1291,castoverlap,5,heard,,2,2,watch_likelihood,2,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,94864,weighted_hybrid,4,unknown,,2,2,watch_likelihood,2,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,1270,knn,3,heard,,3,3,watch_likelihood,3,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,2115,castoverlap,4,heard,,2,2,watch_likelihood,2,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,2115,weighted_hybrid,2,heard,,2,2,watch_likelihood,2,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,5952,image_text_similarity,3,watched,4,,4,rating,2,0,1
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,53453,subtitles,4,unknown,,3,3,watch_likelihood,4,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,1240,knn,4,watched,3,,3,rating,2,0,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,82854,castoverlap,2,heard,,3,3,watch_likelihood,2,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,61160,genome_overlap,1,unknown,,3,3,watch_likelihood,5,2,1
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,61160,image_similarity,1,unknown,,3,3,watch_likelihood,5,2,1
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,61160,image_text_similarity,1,unknown,,3,3,watch_likelihood,5,2,1
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,61160,subtitles,1,unknown,,3,3,watch_likelihood,5,2,1
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,61160,weighted_hybrid,1,unknown,,3,3,watch_likelihood,5,2,1
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,8371,genome_overlap,5,unknown,,2,2,watch_likelihood,3,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,85780,subtitles,2,unknown,,3,3,watch_likelihood,2,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,5944,genome_overlap,4,heard,,3,3,watch_likelihood,4,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,68358,genome_overlap,2,heard,,3,3,watch_likelihood,4,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,63433,subtitles,3,unknown,,2,2,watch_likelihood,3,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,52722,image_text_similarity,4,heard,,3,3,watch_likelihood,2,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,90888,image_text_similarity,5,unknown,,1,1,watch_likelihood,2,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,1580,knn,1,watched,4,,4,rating,3,0,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,62836,tmdb,2,heard,,3,3,watch_likelihood,4,1,1
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,33794,image_similarity,4,heard,,3,3,watch_likelihood,2,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,101025,castoverlap,3,unknown,,4,4,watch_likelihood,2,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,3745,tmdb,3,unknown,,2,2,watch_likelihood,4,2,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,59615,weighted_hybrid,5,heard,,3,3,watch_likelihood,2,1,0
1,evaluation_20260622_113107_28bbe2bdbbdb49d980abf633de64f31d.json,2628,7153,image_similarity,5,watched,4,,4,rating,2,0,1
2,evaluation_20260622_120550_8cfa6c0b34f34ad1ba63fca76d94568c.json,4369,8604,image_text_similarity,4,unknown,,4,4,watch_likelihood,4,2,1
2,evaluation_20260622_120550_8cfa6c0b34f34ad1ba63fca76d94568c.json,4369,64030,genome_overlap,4,unknown,,3,3,watch_likelihood,3,2,0
2,evaluation_20260622_120550_8cfa6c0b34f34ad1ba63fca76d94568c.json,4369,109850,subtitles,3,heard,,3,3,watch_likelihood,4,1,1
2,evaluation_20260622_120550_8cfa6c0b34f34ad1ba63fca76d94568c.json,4369,5507,knn,1,unknown,,3,3,watch_likelihood,3,2,0
2,evaluation_20260622_120550_8cfa6c0b34f34ad1ba63fca76d94568c.json,4369,5507,weighted_hybrid,1,unknown,,3,3,watch_likelihood,3,2,0
2,evaluation_20260622_120550_8cfa6c0b34f34ad1ba63fca76d94568c.json,4369,6280,image_similarity,1,unknown,,2,2,watch_likelihood,3,2,0
2,evaluation_20260622_120550_8cfa6c0b34f34ad1ba63fca76d94568c.json,4369,6280,image_text_similarity,1,unknown,,2,2,watch_likelihood,3,2,0
