evaluator_id,algorithm,metric,value,n_observations
1,castoverlap,relevance,2.4,5
1,castoverlap,preference_score,2.8,5
1,castoverlap,novelty_score,1.4,5
1,genome_overlap,relevance,4.0,5
1,genome_overlap,preference_score,2.6,5
1,genome_overlap,novelty_score,1.4,5
1,image_similarity,relevance,3.2,5
1,image_similarity,preference_score,3.0,5
1,image_similarity,novelty_score,1.4,5
1,image_text_similarity,relevance,2.8,5
1,image_text_similarity,preference_score,3.0,5
1,image_text_similarity,novelty_score,1.0,5
1,knn,relevance,2.8,5
1,knn,preference_score,3.4,5
1,knn,novelty_score,0.4,5
1,subtitles,relevance,3.6,5
1,subtitles,preference_score,3.0,5
1,subtitles,novelty_score,2.0,5
1,tmdb,relevance,3.6,5
1,tmdb,preference_score,3.2,5
1,tmdb,novelty_score,1.2,5
1,weighted_hybrid,relevance,2.8,5
1,weighted_hybrid,preference_score,2.8,5
1,weighted_hybrid,novelty_score,1.2,5
2,castoverlap,relevance,2.4,5
2,castoverlap,preference_score,1.8,5
2,castoverlap,novelty_score,2.0,5
2,genome_overlap,relevance,3.2,5
2,genome_overlap,preference_score,2.6,5
2,genome_overlap,novelty_score,1.8,5
2,image_similarity,relevance,2.8,5
2,image_similarity,preference_score,2.8,5
2,image_similarity,novelty_score,1.6,5
2,image_text_similarity,relevance,3.4,5
2,image_text_similarity,preference_score,3.0,5
2,image_text_similarity,novelty_score,2.0,5
2,knn,relevance,3.4,5
2,knn,preference_score,3.0,5
2,knn,novelty_score,1.6,5
2,subtitles,relevance,2.8,5
2,subtitles,preference_score,2.4,5
2,subtitles,novelty_score,1.6,5
2,tmdb,relevance,3.6,5
2,tmdb,preference_score,3.2,5
2,tmdb,novelty_score,1.8,5
2,weighted_hybrid,relevance,3.4,5
2,weighted_hybrid,preference_score,2.8,5
2,weighted_hybrid,novelty_score,1.8,5
3,castoverlap,relevance,3.8,5
3,castoverlap,preference_score,3.8,5
3,castoverlap,novelty_score,1.0,5
3,genome_overlap,relevance,3.2,5
3,genome_overlap,preference_score,3.2,5
3,genome_overlap,novelty_score,1.2,5
3,image_similarity,relevance,2.4,5
3,image_similarity,preference_score,2.6,5
3,image_similarity,novelty_score,2.0,5
3,image_text_similarity,relevance,2.8,5
3,image_text_similarity,preference_score,2.8,5
3,image_text_similarity,novelty_score,1.6,5
3,knn,relevance,4.0,5
3,knn,preference_score,4.4,5
3,knn,novelty_score,0.8,5
3,subtitles,relevance,2.0,5
3,subtitles,preference_score,1.2,5
3,subtitles,novelty_score,2.0,5
3,tmdb,relevance,2.4,5
3,tmdb,preference_score,2.6,5
3,tmdb,novelty_score,1.2,5
3,weighted_hybrid,relevance,4.0,5
3,weighted_hybrid,preference_score,4.0,5
3,weighted_hybrid,novelty_score,0.4,5
4,castoverlap,relevance,1.6,5
4,castoverlap,preference_score,3.2,5
4,castoverlap,novelty_score,1.2,5
4,genome_overlap,relevance,2.2,5
4,genome_overlap,preference_score,2.2,5
4,genome_overlap,novelty_score,1.8,5
4,image_similarity,relevance,2.2,5
4,image_similarity,preference_score,3.2,5
4,image_similarity,novelty_score,1.2,5
4,image_text_similarity,relevance,2.2,5
4,image_text_similarity,preference_score,3.2,5
4,image_text_similarity,novelty_score,1.2,5
4,knn,relevance,2.2,5
4,knn,preference_score,3.6,5
4,knn,novelty_score,0.6,5
4,subtitles,relevance,2.4,5
4,subtitles,preference_score,2.4,5
4,subtitles,novelty_score,2.0,5
4,tmdb,relevance,1.4,5
4,tmdb,preference_score,2.0,5
4,tmdb,novelty_score,1.8,5
4,weighted_hybrid,relevance,2.4,5
4,weighted_hybrid,preference_score,3.6,5
4,weighted_hybrid,novelty_score,1.2,5
5,castoverlap,relevance,3.6,5
5,castoverlap,preference_score,4.2,5
5,castoverlap,novelty_score,0.4,5
5,genome_overlap,relevance,4.6,5
5,genome_overlap,preference_score,4.0,5
5,genome_overlap,novelty_score,0.6,5
5,image_similarity,relevance,5.0,5
5,image_similarity,preference_score,4.8,5
5,image_similarity,novelty_score,0.2,5
5,image_text_similarity,relevance,5.0,5
5,image_text_similarity,preference_score,4.8,5
5,image_text_similarity,novelty_score,0.2,5
5,knn,relevance,3.4,5
5,knn,preference_score,3.8,5
5,knn,novelty_score,0.8,5
5,subtitles,relevance,2.2,5
5,subtitles,preference_score,1.6,5
5,subtitles,novelty_score,1.6,5
5,tmdb,relevance,4.4,5
5,tmdb,preference_score,4.8,5
5,tmdb,novelty_score,0.2,5
5,weighted_hybrid,relevance,5.0,5
5,weighted_hybrid,preference_score,4.8,5
5,weighted_hybrid,novelty_score,0.2,5
6,castoverlap,relevance,2.8,5
6,castoverlap,preference_score,2.4,5
6,castoverlap,novelty_score,1.8,5
6,genome_overlap,relevance,2.4,5
6,genome_overlap,preference_score,3.4,5
6,genome_overlap,novelty_score,1.6,5
6,image_similarity,relevance,3.4,5
6,image_similarity,preference_score,3.4,5
6,image_similarity,novelty_score,1.2,5
6,image_text_similarity,relevance,3.4,5
6,image_text_similarity,preference_score,3.0,5
6,image_text_similarity,novelty_score,1.2,5
6,knn,relevance,3.2,5
6,knn,preference_score,4.2,5
6,knn,novelty_score,1.2,5
6,subtitles,relevance,2.4,5
6,subtitles,preference_score,1.6,5
